GEOID,total_crimes,total_violent,total_property,avg_total_crimes,avg_violent_crimes,avg_property_crimes,pop,crime_rate,violent_rate,property_rate
MONTEZUMA,28,9,19,0.0012228676245796392,3.9306459361488407e-4,8.298030309647552e-4,15759.4,7.7596077552422e-5,2.4941596356135644e-5,5.265448119628636e-5
MONTROSE,6211,806,5405,0.271258243438005,0.03520111805039962,0.23605712538760537,19566.125,0.013863667100052001,0.0017990847983645009,0.012064582301687502
MONUMENT,1,1,NA,4.367384373498712e-5,4.367384373498712e-5,NA,5880,7.4275244447256995e-6,7.4275244447256995e-6,NA
MORGAN,908,241,667,0.0396558501113683,0.010525396340131894,0.029130453771236405,10086.6,0.003931537892983593,0.0010435028989086406,0.002888034994074951
MORRISON,21,7,14,9.171507184347294e-4,3.057169061449098e-4,6.114338122898196e-4,435,0.0021083924561717915,7.027974853905972e-4,0.0014055949707811944
MOUNT,51,NA,51,0.002227366030484343,NA,0.002227366030484343,1,2.227366030484343,NA,2.227366030484343
MOUNTAIN,49,NA,49,0.0021400183430143687,NA,0.0021400183430143687,-6,NA,NA,NA
NEW,407,NA,407,0.017775254400139755,NA,0.017775254400139755,-6,NA,NA,NA
NORTHGLENN,8328,1180,7148,0.3637157706249727,0.051535135607284795,0.3121806350176879,36552.2,0.009950584934011434,0.0014099051659622348,0.0085406797680492
OAK,24,NA,24,0.0010481722496396909,NA,0.0010481722496396909,-6,NA,NA,NA
OLATHE,72,13,59,0.0031445167489190726,5.677599685548325e-4,0.0025767567803642397,1824.5,0.0017234950665492314,3.1118660923805565e-4,0.0014123084573111754
OTERO,147,38,109,0.0064200550290431065,0.0016596060619295104,0.004760448967113595,6254.333333333333,0.0010264970999909035,2.653529918343832e-4,7.6114410815652e-4
OURAY,25,5,20,0.0010918460933746778,2.1836921867493558e-4,8.734768746997423e-4,1015,0.0010757104368223427,2.1514208736446853e-4,8.605683494578741e-4
PAGOSA,482,NA,482,0.02105079268026379,NA,0.02105079268026379,-6,NA,NA,NA
PALISADE,155,46,109,0.006769445778923003,0.0020089968118094073,0.004760448967113595,2702.6666666666665,0.0025047283345793056,7.433387315525682e-4,0.0017613896030267374
PAONIA,14,6,8,6.114338122898196e-4,2.620430624099227e-4,3.4939074987989693e-4,1438,4.2519736598735716e-4,1.8222744256601024e-4,2.4296992342134695e-4
PARK,529,216,313,0.023103463335808185,0.009433550246757218,0.013669913089050967,15507.333333333334,0.0014898411505830478,6.08328333697426e-4,8.815128168856218e-4
PARKER,51,2,49,0.002227366030484343,8.734768746997423e-5,0.0021400183430143687,46908,4.748371344939761e-5,1.8621064097802984e-6,4.5621607039617306e-5
PHILLIPS,50,18,32,0.0021836921867493557,7.861291872297681e-4,0.0013975629995195877,1205.4,0.0018115913279818778,6.521728780734761e-4,0.001159418449908402
PITKIN,359,98,261,0.015678909900860374,0.004280036686028737,0.011398873214831637,6919.6,0.0022658694000896543,6.185381649269809e-4,0.0016473312351626738
PROWERS,3,2,1,1.3102153120496136e-4,8.734768746997423e-5,4.367384373498712e-5,4773,2.745056174417795e-5,1.8300374496118633e-5,9.150187248059316e-6
